1085;24826;-8191;0
0;3596;-3656;15640;0
0;3532;-3656;15636;0
0;3536;-3636;15752;0
0;3512;-1;-1;0
0;3480;-3612;15748;0
0;3480;-3612;15748;0
0;3472;-3632;15768;0
0;3500;-3592;15744;0
0;3528;-3628;15684;0
0;3524;-3536;15800;0
0;3368;-3676;15752;0
0;3524;-3620;15836;0
0;3512;-3528;15872;0
0;3512;-3616;15748;0
0;3408;-3556;15620;0
0;3508;-3600;15644;0
0;3508;-3600;15644;0
0;3444;-3504;15652;0
0;3404;-3516;15760;0
0;3396;-3636;15732;0
0;3468;-3624;15636;0
0;3528;-3636;15780;0
0;3516;-3608;15800;0
0;3484;-3616;15764;0
0;3472;-3628;15740;0
0;3436;-3504;15608;0
0;3436;-3504;15608;0
0;3392;-3656;15672;0
0;3360;-3712;15692;0
0;3484;-3668;15724;0
0;3448;-3676;15676;0
0;3380;-3668;15708;0
0;3372;-3648;15664;0
0;3416;-3616;15752;0
0;3532;-3612;15736;0
0;3392;-3556;15640;0
0;3392;-3556;15640;0
0;3460;-3580;15648;0
0;3404;-3580;15836;0
0;3456;-3680;15700;0
0;3468;-3668;15672;0
0;3392;-3636;15752;0
0;3464;-3636;15680;0
0;3340;-3744;15716;0
0;3348;-3656;15780;0
0;3360;-3636;15760;0
0;3360;-3636;15760;0
0;3420;-3608;15716;0
0;3548;-3668;15756;0
0;3524;-3636;15784;0
0;3564;-3648;15764;0
0;3504;-3620;15740;0
0;3480;-3596;15792;0
0;3400;-3676;15760;0
0;3452;-3684;15744;0
0;3424;-3716;15744;0
0;3424;-3716;15744;0
0;3416;-3608;15744;0
0;3480;-3724;15788;0
0;3452;-3656;15724;0
0;3468;-3704;15688;0
0;3508;-3664;15708;0
0;3600;-3768;15776;0
0;3628;-3636;15656;0
0;3484;-3672;15800;0
0;3584;-3648;15816;0
0;3584;-3648;15816;0
0;3472;-3612;15588;0
0;3452;-3604;15632;0
0;3444;-3652;15684;0
0;3436;-3624;15636;0
0;3500;-3744;15688;0
0;3484;-3652;15784;0
0;3540;-3620;15604;0
0;3608;-3628;15708;0
0;3564;-3572;15652;0
0;3564;-3572;15652;0
0;3556;-3568;15600;0
0;3624;-3692;15556;0
0;3584;-3684;15668;0
0;3532;-3724;15640;0
0;3528;-3712;15624;0
0;3476;-3708;15648;0
0;3496;-3632;15588;0
0;3496;-3628;15720;0
0;3552;-3660;15596;0
0;3552;-3660;15596;0
0;3504;-3660;15584;0
0;3500;-3660;15608;0
0;3404;-3736;15556;0
0;3368;-3708;15568;0
0;3420;-3700;15600;0
0;3432;-3748;15580;0
0;3444;-3760;15708;0
0;3480;-3720;15688;0
0;3388;-3752;15660;0
0;3388;-3752;15660;0
0;3412;-3788;15680;0
0;3436;-3764;15752;0
0;3504;-3668;15780;0
0;3424;-3760;15592;0
0;3472;-3852;15544;0
0;3340;-3820;15608;0
0;3408;-3948;15524;0
0;3428;-3772;15404;0
0;3428;-3772;15404;0
0;3428;-3772;15404;0
0;3516;-3796;15656;0
0;3544;-3744;15644;0
0;3528;-3688;15656;0
0;3564;-3720;15672;0
0;3564;-3720;15672;0
0;3528;-3676;15664;0
0;3584;-3820;15744;0
0;3508;-3780;15664;0
0;3520;-3776;15528;0
0;3488;-3784;15620;0
0;3604;-3648;15724;0
0;3492;-3692;15636;0
0;3472;-3748;15636;0
0;3544;-3724;15700;0
0;3544;-3724;15700;0
0;3568;-3760;15732;0
0;3620;-3672;15672;0
0;3608;-3676;15688;0
0;3488;-3688;15684;0
0;3552;-3700;15712;0
0;3552;-3644;15664;0
0;3572;-3720;15800;0
0;3436;-3656;15688;0
0;3480;-3660;15700;0
0;3480;-3660;15700;0
0;3504;-3676;15780;0
0;3464;-3696;15760;0
0;3496;-3800;15752;0
0;3372;-3844;15788;0
0;3476;-3716;15772;0
0;3376;-3628;15732;0
0;3500;-3660;15744;0
0;3504;-3660;15892;0
0;3300;-3648;15808;0
0;3300;-3648;15808;0
0;3336;-3700;15764;0
0;3452;-3688;15748;0
0;3384;-3620;15736;0
0;3400;-3616;15744;0
0;3396;-3540;15768;0
0;3416;-3584;15672;0
0;3444;-3648;15744;0
0;3392;-3588;15740;0
0;3324;-3600;15844;0
0;3324;-3600;15844;0
0;3432;-3636;15728;0
0;3332;-3552;15760;0
0;3488;-3608;15720;0
0;3444;-3596;15760;0
0;3400;-3628;15868;0
0;3396;-3596;15868;0
0;3384;-3560;15660;0
0;3452;-3608;15660;0
0;3400;-3616;15664;0
0;3400;-3616;15664;0
0;3344;-3596;15592;0
0;3400;-3548;15656;0
0;3368;-3488;15644;0
0;3484;-3528;15660;0
0;3432;-3568;15704;0
0;3396;-3616;15592;0
0;3452;-3588;15620;0
0;3484;-3580;15604;0
0;3460;-3600;15584;0
0;3460;-3600;15584;0
0;3388;-3596;15660;0
0;3420;-3560;15708;0
0;3344;-3544;15660;0
0;3420;-3556;15720;0
0;3328;-3664;15720;0
0;3432;-3636;15728;0
0;3464;-3608;15676;0
0;3452;-3628;15524;0
0;3512;-3656;15516;0
0;3512;-3656;15516;0
0;3500;-3496;15564;0
0;3496;-3580;15632;0
0;3456;-3692;15624;0
0;3456;-3572;15716;0
0;3508;-3536;15768;0
0;3436;-3596;15716;0
0;3492;-3640;15596;0
0;3480;-3648;15440;0
0;3496;-3556;15560;0
0;3512;-3624;15500;0
0;3512;-3624;15500;0
0;3500;-3604;15556;0
0;3492;-3624;15552;0
0;3428;-3696;15536;0
0;3428;-3656;15580;0
0;3480;-3644;15552;0
0;3584;-3692;15568;0
0;3536;-3700;15528;0
0;3428;-3732;15576;0
0;3432;-3712;15640;0
0;3432;-3712;15640;0
0;3352;-3768;15632;0
0;3496;-3748;15716;0
0;3404;-3672;15736;0
0;3384;-3600;15704;0
0;3456;-3636;15672;0
0;3424;-3692;15556;0
0;3312;-3724;15444;0
0;3348;-3712;15636;0
0;3364;-3636;15776;0
0;3364;-3636;15776;0
0;3344;-3684;15596;0
0;3304;-3668;15656;0
0;3380;-3688;15792;0
0;3356;-3720;15700;0
0;3348;-3632;15720;0
0;3264;-3760;15628;0
0;3252;-3712;15556;0
0;3368;-3720;15532;0
0;3316;-3744;15664;0
0;3316;-3744;15664;0
0;3396;-3716;15760;0
0;3320;-3700;15792;0
0;3288;-3704;15748;0
0;3432;-3736;15860;0
0;3376;-3732;15744;0
0;3504;-3804;15628;0
0;3460;-3752;15616;0
0;3428;-3676;15740;0
0;3328;-3720;15672;0
0;3328;-3720;15672;0
0;3304;-3756;15752;0
0;3396;-3712;15752;0
0;3400;-3788;15656;0
0;3392;-3784;15800;0
0;3424;-3724;15688;0
0;3356;-3768;15584;0
0;3516;-3788;15664;0
0;3500;-3804;15692;0
0;3544;-3768;15792;0
0;3544;-3768;15792;0
0;3472;-3828;15852;0
0;3588;-3748;15676;0
0;3456;-3740;15612;0
0;3480;-3816;15556;0
0;3500;-3872;15628;0
0;3400;-3808;15600;0
0;3408;-3812;15712;0
0;3472;-3800;15740;0
0;3508;-3844;15688;0
0;3508;-3844;15688;0
0;3512;-3832;15752;0
0;3424;-3848;15756;0
0;3400;-3864;15752;0
0;3456;-3860;15692;0
0;3404;-3836;15676;0
0;3420;-3852;15748;0
0;3484;-3864;15676;0
0;3524;-3860;15736;0
0;3480;-3840;15804;0
0;3480;-3840;15804;0
0;3396;-3844;15844;0
0;3404;-3840;15884;0
0;3556;-3760;15632;0
0;3504;-3776;15604;0
0;3520;-3884;15692;0
0;3492;-3864;15624;0
0;3560;-3840;15672;0
0;3500;-3796;15728;0
0;3580;-3848;15720;0
0;3580;-3848;15720;0
0;3604;-3852;15732;0
0;3508;-3792;15772;0
0;3512;-3828;15792;0
0;3552;-3840;15692;0
0;3552;-3752;15656;0
0;3432;-3840;15752;0
0;3480;-3872;15828;0
0;3548;-3788;15612;0
0;3476;-3748;15568;0
0;3476;-3748;15568;0
0;3456;-3788;15648;0
0;3460;-3836;15592;0
0;3548;-3896;15484;0
0;3520;-3864;15500;0
0;3568;-3788;15720;0
0;3568;-3756;15628;0
0;3432;-3732;15616;0
0;3492;-3716;15680;0
0;3472;-3568;15700;0
0;3472;-3568;15700;0
0;3424;-3732;15672;0
0;3540;-3772;15612;0
0;3372;-3712;15588;0
0;3352;-3732;15624;0
0;3336;-3756;15732;0
0;3460;-3800;15716;0
0;3480;-3740;15580;0
0;3460;-3656;15520;0
0;3452;-3752;15540;0
0;3452;-3752;15540;0
0;3412;-3836;15472;0
0;3436;-3712;15452;0
0;3376;-3660;15368;0
0;3376;-3576;15592;0
0;3404;-3716;15536;0
0;3388;-3760;15468;0
0;3428;-3732;15520;0
0;3320;-3740;15584;0
0;3448;-3708;15532;0
0;3448;-3708;15532;0
0;3440;-3700;15700;0
0;3396;-3644;15640;0
0;3428;-3712;15568;0
0;3412;-3756;15572;0
0;3384;-3740;15492;0
0;3364;-3744;15616;0
0;3328;-3692;15620;0
0;3348;-3708;15620;0
0;3416;-3720;15520;0
0;3416;-3720;15520;0
0;3432;-3632;15568;0
0;3436;-3612;15516;0
0;3516;-3636;15612;0
0;3452;-3588;15600;0
0;3452;-3604;15608;0
0;3440;-3576;15584;0
0;3412;-3532;15676;0
0;3448;-3684;15608;0
0;3368;-3608;15592;0
0;3384;-3556;15556;0
0;3384;-3556;15556;0
0;3416;-3624;15604;0
0;3412;-3584;15580;0
0;3448;-3560;15596;0
0;3452;-3600;15696;0
0;3356;-3636;15628;0
0;3384;-3584;15648;0
0;3432;-3564;15832;0
0;3420;-3592;15856;0
0;3500;-3652;15732;0
0;3500;-3652;15732;0
0;3460;-3636;15792;0
0;3444;-3628;15724;0
0;3548;-3548;15860;0
0;3512;-3556;15780;0
0;3508;-3560;15648;0
0;3432;-3560;15656;0
0;3460;-3568;15840;0
0;3440;-3524;15800;0
0;3432;-3588;15796;0
0;3432;-3588;15796;0
0;3432;-3548;15712;0
0;3516;-3508;15728;0
0;3552;-3524;15664;0
0;3464;-3456;15664;0
0;3416;-3464;15704;0
0;3376;-3496;15776;0
0;3444;-3528;15828;0
0;3512;-3532;15640;0
0;3452;-3536;15776;0
0;3452;-3536;15776;0
0;3520;-3516;15796;0
0;3476;-3512;15676;0
0;3416;-3456;15856;0
0;3472;-3520;15692;0
0;3484;-3540;15700;0
0;3428;-3624;15884;0
0;3420;-3640;15700;0
0;3368;-3592;15652;0
0;3396;-3636;15788;0
0;3396;-3636;15788;0
0;3428;-3656;15748;0
0;3460;-3564;15692;0
0;3472;-3652;15828;0
0;3460;-3540;15808;0
0;3488;-3548;15668;0
0;3484;-3560;15588;0
0;3452;-3636;15556;0
0;3496;-3585;-1;0
0;3412;-3704;15764;0
0;3412;-3704;15764;0
0;3620;-3520;15736;0
0;3668;-3596;15664;0
0;3432;-3640;15716;0
0;3448;-3632;15676;0
0;3488;-3616;15716;0
0;3444;-3652;15688;0
0;3412;-3592;15620;0
0;3500;-3624;15556;0
0;3444;-3680;15760;0
0;3444;-3680;15760;0
0;3424;-3620;15688;0
0;3548;-3732;15684;0
0;3424;-3716;15636;0
0;3396;-3708;15652;0
0;3444;-3680;15668;0
0;3408;-3644;15652;0
0;3536;-3668;15592;0
0;3492;-3588;15604;0
0;3428;-3644;15560;0
0;3428;-3644;15560;0
0;3424;-3732;15528;0
0;3544;-3620;15644;0
0;3532;-3540;15624;0
0;3456;-3652;15632;0
0;3468;-3596;15668;0
0;3372;-3724;15484;0
0;3416;-3704;15548;0
0;3368;-3664;15412;0
0;3428;-3752;15508;0
0;3428;-3752;15508;0
0;3428;-3716;15680;0
0;3404;-3732;15724;0
0;3496;-3700;15728;0
0;3416;-3640;15696;0
0;3464;-3668;15664;0
0;3428;-3736;15580;0
0;3528;-3744;15604;0
0;3488;-3692;15720;0
0;3448;-3696;15596;0
0;3448;-3696;15596;0
0;3436;-3644;15544;0
0;3344;-3668;15520;0
0;3372;-3664;15480;0
0;3388;-3640;15528;0
0;3344;-3712;15696;0
0;3412;-3804;15684;0
0;3344;-3764;15548;0
0;3464;-3712;15456;0
0;3424;-3700;15480;0
0;3424;-3700;15480;0
0;3416;-3648;15680;0
0;3392;-3604;15688;0
0;3436;-3660;15608;0
0;3452;-3820;15560;0
0;3428;-3704;15656;0
0;3488;-3644;15588;0
0;3516;-3708;15508;0
0;3516;-3772;15608;0
0;3492;-3748;15648;0
0;3492;-3748;15648;0
0;3368;-3772;15752;0
0;3512;-3696;15612;0
0;3456;-3748;15624;0
0;3448;-3640;15728;0
0;3368;-3656;15632;0
0;3428;-3720;15632;0
0;3432;-3716;15660;0
0;3540;-3748;15668;0
0;3440;-3740;15596;0
0;3440;-3740;15596;0
0;3392;-3668;15556;0
0;3312;-3744;15624;0
0;3412;-3728;15668;0
0;3488;-3672;15712;0
0;3516;-3740;15640;0
0;3524;-3732;15644;0
0;3552;-3772;15668;0
0;3424;-3912;15612;0
0;3424;-3912;15612;0
0;3472;-3860;15636;0
0;3460;-3704;15644;0
0;3480;-3708;15756;0
0;3540;-3772;15540;0
0;3528;-3812;15648;0
0;3528;-3812;15648;0
0;3568;-3848;15724;0
0;3480;-3792;15676;0
0;3508;-3876;15680;0
0;3476;-3896;15668;0
0;3516;-3740;15752;0
0;3404;-3748;15612;0
0;3352;-3756;15500;0
0;3472;-3736;15664;0
0;3456;-3836;15644;0
0;3456;-3836;15644;0
0;3484;-3796;15752;0
0;3452;-3844;15692;0
0;3468;-3844;15592;0
0;3468;-3808;15604;0
0;3504;-3728;15688;0
0;3564;-3636;15744;0
0;3508;-3624;15644;0
0;3552;-3760;15716;0
0;3516;-3840;15824;0
0;3516;-3840;15824;0
0;3416;-3780;15964;0
0;3432;-3828;15868;0
0;3376;-3688;15712;0
0;3452;-3704;15672;0
0;3524;-3780;15656;0
0;3456;-3772;15672;0
0;3488;-3744;15732;0
0;3504;-3860;15688;0
0;3436;-3792;15748;0
0;3436;-3792;15748;0
0;3412;-3836;15712;0
0;3460;-3880;15748;0
0;3400;-3832;15708;0
0;3472;-3808;15620;0
0;3400;-3692;15756;0
0;3396;-3708;15864;0
0;3436;-3712;15668;0
0;3392;-3784;15588;0
0;3432;-3748;15604;0
0;3432;-3748;15604;0
0;3416;-3780;15628;0
0;3448;-3760;15608;0
0;3368;-3740;15664;0
0;3364;-3732;15780;0
0;3464;-3796;15780;0
0;3444;-3720;15796;0
0;3476;-3624;15680;0
0;3356;-3628;15648;0
0;3444;-3780;15796;0
0;3444;-3780;15796;0
0;3296;-3720;15732;0
0;3384;-3768;15760;0
0;3384;-3708;15680;0
0;3348;-3668;15648;0
0;3448;-3712;15800;0
0;3404;-3700;15704;0
0;3368;-3748;15800;0
0;3420;-3728;15884;0
0;3356;-3732;15724;0
0;3356;-3732;15724;0
0;3368;-3748;15660;0
0;3340;-3620;15700;0
0;3400;-3732;15608;0
0;3384;-3656;15700;0
0;3440;-3684;15664;0
0;3368;-3620;15704;0
0;3412;-3740;15616;0
0;3448;-3804;15584;0
0;3412;-3684;15656;0
0;3412;-3684;15656;0
0;3416;-3792;15692;0
0;3292;-3804;15600;0
0;3348;-3744;15652;0
0;3360;-3676;15532;0
0;3320;-3728;15572;0
0;3336;-3772;15492;0
0;3264;-3756;15536;0
0;3336;-3768;15588;0
0;3284;-3696;15532;0
0;3284;-3696;15532;0
0;3200;-3792;15676;0
0;3392;-3804;15740;0
0;3348;-3736;15680;0
0;3372;-3832;15648;0
0;3336;-3856;15660;0
0;3340;-3728;15564;0
0;3400;-3700;15608;0
0;3340;-3708;15504;0
0;3328;-3696;15624;0
0;3320;-3764;15700;0
0;3320;-3764;15700;0
0;3288;-3700;15624;0
0;3304;-3692;15460;0
0;3392;-3752;15744;0
0;3440;-3684;15624;0
0;3304;-3724;15604;0
0;3296;-3740;15648;0
0;3392;-3748;15708;0
0;3388;-3640;15596;0
0;3384;-3664;15596;0
0;3384;-3664;15596;0
0;3384;-3728;15472;0
0;3380;-3656;15664;0
0;3508;-3620;15772;0
0;3324;-3608;15688;0
0;3428;-3628;15688;0
0;3312;-3636;15592;0
0;3392;-3616;15660;0
0;3368;-3680;15864;0
0;3488;-3572;15744;0
0;3488;-3572;15744;0
0;3448;-3676;15692;0
0;3492;-3768;15760;0
0;3440;-3696;15700;0
0;3444;-3588;15644;0
0;3428;-3608;15656;0
0;3436;-3604;15600;0
0;3496;-3668;15656;0
0;3496;-3636;15792;0
0;3444;-3696;15568;0
0;3444;-3696;15568;0
0;3420;-3600;15508;0
0;3492;-3636;15644;0
0;3576;-3636;15612;0
0;3480;-3648;15460;0
0;3516;-3600;15636;0
0;3500;-3660;15532;0
0;3480;-3640;15680;0
0;3616;-3660;15660;0
0;3504;-3708;15640;0
0;3504;-3708;15640;0
0;3512;-3624;15684;0
0;3464;-3588;15712;0
0;3476;-3640;15764;0
0;3532;-3480;15688;0
0;3536;-3504;15592;0
0;3588;-3488;15600;0
0;3380;-3576;15716;0
0;3472;-3556;15624;0
0;3432;-3472;15656;0
0;3432;-3472;15656;0
0;3444;-3588;15608;0
0;3508;-3544;15540;0
0;3488;-3516;15564;0
0;3520;-3604;15492;0
0;3480;-3668;15528;0
0;3492;-3588;15580;0
0;3464;-3524;15580;0
0;3580;-3616;15636;0
0;3496;-3608;15680;0
0;3496;-3608;15680;0
0;3428;-3596;15580;0
0;3388;-3516;15532;0
0;3332;-3528;15552;0
0;3440;-3688;15600;0
0;3316;-3608;15532;0
0;3348;-3624;15468;0
0;3384;-3464;15580;0
0;3300;-3404;15688;0
0;3304;-3532;15640;0
0;3304;-3532;15640;0
0;3280;-3536;15656;0
0;3368;-3468;15576;0
0;3188;-3484;15476;0
0;3164;-3512;15632;0
0;3232;-3644;15700;0
0;3148;-3544;15768;0
0;3100;-3604;15688;0
0;3220;-3588;15616;0
0;3252;-3624;15632;0
0;3252;-3624;15632;0
0;3280;-3620;15612;0
0;3204;-3684;15616;0
0;3272;-3652;15568;0
0;3188;-3720;15672;0
0;3168;-3580;15580;0
0;3224;-3552;15488;0
0;3284;-3616;15664;0
0;3292;-3628;15716;0
0;3276;-3604;15704;0
0;3276;-3604;15704;0
0;3256;-3560;15640;0
0;3368;-3620;15684;0
0;3236;-3616;15684;0
0;3272;-3624;15784;0
0;3304;-3624;15796;0
0;3388;-3640;15644;0
0;3364;-3708;15628;0
0;3308;-3708;15728;0
0;3360;-3620;15796;0
0;3360;-3620;15796;0
0;3396;-3572;15648;0
0;3428;-3624;15752;0
0;3552;-3540;15784;0
0;3428;-3564;15672;0
0;3492;-3592;15576;0
0;3428;-3640;15564;0
0;3544;-3644;15624;0
0;3528;-3704;15828;0
0;3476;-3676;15780;0
0;3476;-3676;15780;0
0;3444;-3700;15692;0
0;3540;-3736;15796;0
0;3504;-3708;15616;0
0;3416;-3724;15668;0
0;3476;-3704;15676;0
0;3436;-3720;15872;0
0;3480;-3752;15736;0
0;3528;-3724;15760;0
0;3496;-3652;15700;0
0;3496;-3652;15700;0
0;3520;-3676;15736;0
0;3372;-3772;15764;0
0;3360;-3692;15816;0
0;3284;-3724;15880;0
0;3396;-3728;15808;0
0;3364;-3776;15884;0
0;3460;-3836;15928;0
0;3472;-3808;15876;0
0;3352;-3736;15896;0
0;3352;-3736;15896;0
0;3408;-3728;15728;0
0;3464;-3780;15708;0
0;3404;-3724;15784;0
0;3424;-3712;15744;0
0;3412;-3732;15672;0
0;3452;-3804;15628;0
0;3368;-3748;15632;0
0;3488;-3748;15672;0
0;3492;-3820;15664;0
0;3492;-3820;15664;0
0;3508;-3808;15748;0
0;3500;-3780;15716;0
0;3388;-3896;15824;0
0;3512;-3892;15792;0
0;3392;-4004;15700;0
